text,label
"You have (1) package waiting, ready for delivery. Use the code to track and receive your package.",phishing
We were unable to deliver your package as there was no one to sign the delivery receipt. Click here to check out.,phishing
We are here to inform you that we need address confirmation to resend the package. Check here.,phishing
You have (1) message from us. Click below to open it.,phishing
You have (1) package awaiting delivery. Use your code to track and receive it. Schedule delivery.,phishing
You have (1) package awaiting delivery. Use your code to track and receive it. Schedule your delivery and sign up for our calendar notifications to prevent this from happening again!,phishing
Your Netflix account has been used to share your subscription without permission. Click here to verify your account and reset it.,phishing
Your Netflix account has been used to share your subscription in an unauthorized way. Click here to verify your account and reset it.,phishing
Your iCloud account has been used to store illegal files. Click here to verify your account and reset it.,phishing
Your Microsoft account has been used to buy software illegally. Click here to verify your account and reset it.,phishing
Your Facebook account has been used to post offensive content. Click here to verify your account and reset it.,phishing
Your LinkedIn account has been used to submit fraudulent job applications. Click here to verify your account and reset it.,phishing
Your Twitter account has been used to spread fake news. Click here to verify your account and reset it.,phishing
Your Instagram account has been used to post inappropriate content. Click here to verify your account and reset it.,phishing
Your Google Account has been used to send Phishing messages. Click here to verify your account and reset it.,phishing
Your eBay account has been used to make fraudulent purchases. Click here to verify your account and reset it.,phishing
Your email account has been used to send Phishing messages. Click here to verify your account and reset it.,phishing
Your social media account has been used to spread false information. Click here to verify your account and reset it.,phishing
Your PayPal account has been used to make unauthorized transactions. Click here to verify your account and reset it.,phishing
Your Amazon account has been used to purchase counterfeit products. Click here to verify your account and reset it.,phishing
Your Amazon account has been used to make fraudulent purchases. Click here to verify your account and reset it.,phishing
Your bank account has been suspended due to suspicious activity. Click here to verify your account and reset it.,phishing
Your email account has been compromised. Click here to reset your password.,phishing
Your social media account has been hacked. Click here to change your password.,phishing
Your PayPal account has been suspended. Click here to verify your account.,phishing
Your Amazon account has been used to make an unauthorized purchase. Click here to cancel your order and protect your account.,phishing
Your Netflix account has been used to watch unauthorized content. Click here to verify your account and reset it.,phishing
Your iCloud account has been hacked. Click here to change your password and restore the security of your account.,phishing
Your Microsoft account has been suspended due to suspicious activity. Click here to verify your account and reset it.,phishing
Your Facebook account has been compromised. Click here to reset your password.,phishing
Your LinkedIn account has been hacked. Click here to change your password.,phishing
Your Twitter account has been used to send unauthorized messages. Click here to verify your account and reset it.,phishing
Your Instagram account has been used to post unauthorized content. Click here to verify your account and reset it.,phishing
Your Google Account has been suspended due to suspicious activity. Click here to verify your account and reset it.,phishing
Your eBay account has been compromised. Click here to reset your password.,phishing
Your email account has been used to send spam. Click here to verify your account and reset it.,phishing
Your social media account has been used to spread fake news. Click here to verify your account and reset it.,phishing
Your Microsoft account has been used to download software illegally. Click here to verify your account and reset it.,phishing
Your Facebook account has been used to spread fake news. Click here to verify your account and reset it.,phishing
Your Microsoft account has been compromised. Click here to reset your password.,phishing
Your iCloud account has been compromised. Click here to reset your password.,phishing
Your Twitter account has been compromised. Click here to reset your password.,phishing
Your LinkedIn account has been compromised. Click here to reset your password.,phishing
Your Netflix account has been compromised. Click here to reset your password.,phishing
Your Dazn account has been compromised. Click here to reset your password.,phishing
Your PayPal account has been compromised. Click here to reset your password.,phishing
Your Instagram account has been compromised. Click here to reset your password.,phishing
Your Google Account has been compromised. Click here to reset your password.,phishing
Your Microsoft account has been hacked. Click here to change your password.,phishing
Your iCloud account has been hacked. Click here to change your password.,phishing
Your Facebook account has been hacked. Click here to change your password.,phishing
Your Twitter account has been hacked. Click here to change your password.,phishing
Your Netflix account has been hacked. Click here to change your password.,phishing
Your Dazn account has been hacked. Click here to change your password.,phishing
Your PayPal account has been hacked. Click here to change your password.,phishing
Your Instagram account has been hacked. Click here to change your password.,phishing
Your Google account has been hacked. Click here to change your password.,phishing
Your postal account has been suspended due to suspicious activity. Click here to verify your account and reset it.,phishing
"Your computer is infected with a virus, download the attachment to remove it immediately.",scareware
"Your computer is infected with a virus, download the attachment to remove it completely.",scareware
"Your computer is infected, download the attachment to remove it completely.",scareware
"Your system has been compromised, please download the attachment to fix the vulnerabilities.",scareware
"Your account has been compromised, please download the attachment to restore security.",scareware
"Your computer has been locked due to a Malware infection, please download the attachment to unlock it.",scareware
"Your computer has been locked down due to a Malware infection, please download the attachment to fix it.",scareware
"Your browser is infected with a virus, please download the attachment to remove it.",scareware
"Your system is infected with a trojan, please download the attachment to remove it.",scareware
"Your computer is infected with a worm, please download the attachment to remove it.",scareware
"Your account has been used to send spam, please download the attachment to restore security.",scareware
"Your computer is infected with a ransomware, please download the attachment to decrypt your files.",scareware
"Your system is infected with spyware, please download the attachment to remove it.",scareware
"Your computer is infected with adware, please download the attachment to remove it.",scareware
"Your system has been compromised, please download the attachment to avoid data loss.",scareware
"Your computer is infected with a keylogger, please download the attachment to remove it.",scareware
"Your system has been compromised, please download the attachment to avoid identity theft.",scareware
"Your computer is infected with a rootkit, please download the attachment to remove it.",scareware
"Your system is infected with Malware, please download the attachment to protect your data.",scareware
"Your computer is infected with a security threat, please download the attachment to remove it.",scareware
"Your system has been compromised, please download the attachment to avoid losing money.",scareware
"Your computer is infected with Malware, please download the attachment to restore security.",scareware
"Your system has been compromised, please download the attachment to avoid data theft.",scareware
"Your account has been used to make fraudulent transactions, please download the attachment to restore security.",scareware
"Your computer is infected with Malware, please download the attachment to avoid data loss.",scareware
"Your computer is infected with a virus, please download the attachment to protect your data.",scareware
"Your system has been compromised, please download the attachment to restore security.",scareware
"Your computer is infected with Malware, please download the attachment to avoid loss of money.",scareware
Your account has been used to send Phishing emails.,scareware
"Your computer is infected with a Cryptocurrency Mining Malware, please download the attachment to remove it.",scareware
"Your system has been compromised, please download the attachment to avoid loss of sensitive data.",scareware
"Your system has been severely compromised, please download the attachment to avoid loss of all data.",scareware
"Your computer is infected with a Tracking Malware, please download the attachment to protect your privacy.",scareware
"Your account has been used to send Phishing emails, please download the attachment to restore security.",scareware
"Your account has been used to send spam emails, please download the attachment to restore security.",scareware
"Your system is infected with a keylogger, please download the attachment to protect your data.",scareware
"Your system is infected with an adware, please download the attachment to protect your data.",scareware
"Your system is infected with spyware, please download the attachment to protect your data.",scareware
"Your system is infected with a ransomware, please download the attachment to protect your data.",scareware
"Your system is infected with a worm, please download the attachment to protect your data.",scareware
"Your system is infected with a trojan, please download the attachment to protect your data.",scareware
"Your system is infected with a virus, please download the attachment to protect your data.",scareware
"Your system is infected, please download the attachment to protect your system.",scareware
"Your computer is infected with a keylogger, please download the attachment to restore security.",scareware
"Your computer is infected with an adware, please download the attachment to restore security.",scareware
"Your computer is infected with spyware, please download the attachment to restore security.",scareware
"Your computer is infected with a ransomware, please download the attachment to restore security.",scareware
"Your computer is infected with a worm, please download the attachment to restore security.",scareware
"Your computer is infected with a trojan, please download the attachment to restore security.",scareware
"Your computer is infected with a virus, please download the attachment to restore security.",scareware
"Your computer has been infected, please download the attachment to restore the security of your data.",scareware
"Your computer is infected, please download the attachment to restore the security of your system.",scareware
"Your computer is infected with a keylogger, please download the attachment to avoid data loss.",scareware
"Your computer is infected with adware, please download the attachment to avoid data loss.",scareware
"Your computer is infected with spyware, please download the attachment to avoid data loss.",scareware
"Your computer is infected with a ransomware, please download the attachment to avoid data loss.",scareware
"Your computer is infected with a worm, please download the attachment to avoid data loss.",scareware
"Your computer is infected with a trojan, please download the attachment to avoid data loss.",scareware
"Your computer is infected with a virus, please download the attachment to avoid data loss.",scareware
"Your computer is infected with a keylogger, please download the attachment to avoid losing money.",scareware
"Your computer is infected with an adware, please download the attachment to avoid loss of money.",scareware
"Your computer is infected with spyware, please download the attachment to avoid loss of money.",scareware
"Your computer is infected with a ransomware, please download the attachment to avoid loss of money.",scareware
"Your computer is infected with a worm, please download the attachment to avoid losing money.",scareware
"Your computer is infected with a trojan, please download the attachment to avoid loss of money.",scareware
"Your computer is infected with a virus, please download the attachment to avoid losing money.",scareware
"Your computer is infected with spyware, please download the attachment to remove it.",scareware
